Watching for file changes with StatReloader
/home/wolf/Projekte/dev/venv/tourguidecambodia/tourguidecambodia/urls.py changed, reloading.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/blurred-background-casual-close-up.2e16d0ba..max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/Siem_Reap_locator_map.2e16d0ba.fill-100x100.max-165x165.png HTTP/1.1" 304 0
"GET /admin/images/chooser/5/ HTTP/1.1" 200 278
"GET /admin/snippets/choose/tours/tourprovince/ HTTP/1.1" 200 2058
"GET /admin/snippets/choose/tours/tourprovince/2/ HTTP/1.1" 200 119
"POST /admin/pages/add/ourteam/tourguidepage/4/ HTTP/1.1" 302 0
"GET /admin/pages/4/ HTTP/1.1" 200 30761
"GET /admin/api/main/pages/?child_of=1&for_explorer=1&fields=parent HTTP/1.1" 200 1510
"GET / HTTP/1.1" 200 13252
"GET /media/images/AnkgorWat_panorama_dark.width-1368.width-1368.jpg HTTP/1.1" 304 0
Not Found: /tours/
"GET /tours/ HTTP/1.1" 404 1693
"GET /team/ HTTP/1.1" 200 15162
"GET /media/images/adult-casual-close-up-2857942.2e16.2e16d0ba.fill-300x240.jpg HTTP/1.1" 200 1424
"GET /media/images/blurred-background-casual-close-up.2e16d0ba.fill-300x240_7FgTDUF.jpg HTTP/1.1" 200 14729
"GET /admin/api/main/pages/?child_of=1&for_explorer=1&fields=parent HTTP/1.1" 200 1510
"GET /admin/api/main/pages/?translation_of=3&limit=20&fields=parent&has_children=1 HTTP/1.1" 200 84
"GET /admin/api/main/pages/?child_of=3&for_explorer=1&fields=parent HTTP/1.1" 200 1562
"GET /admin/api/main/pages/?translation_of=4&limit=20&fields=parent&has_children=1 HTTP/1.1" 200 84
"GET /admin/api/main/pages/?child_of=4&for_explorer=1&fields=parent HTTP/1.1" 200 2860
"GET /admin/pages/5/edit/ HTTP/1.1" 200 47787
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165.jpg HTTP/1.1" 304 0
"GET /admin/api/main/pages/?child_of=1&for_explorer=1&fields=parent HTTP/1.1" 200 1510
"GET /admin/api/main/pages/?translation_of=3&limit=20&fields=parent&has_children=1 HTTP/1.1" 200 84
"GET /admin/api/main/pages/?child_of=3&for_explorer=1&fields=parent HTTP/1.1" 200 1562
"GET /admin/pages/4/edit/ HTTP/1.1" 200 126065
"GET /media/images/blurred-background-casual-close-up.2e16d0ba..max-165x165.jpg HTTP/1.1" 304 0
